1x9y , A ,  2  , 346 ,  0.315
1lbu , A ,  2  , 214 ,  0.407
1ogp , A ,  2  , 388 ,  0.278
2fef , A ,  2  , 283 ,  0.336
1ca1 , A ,  2  , 370 ,  0.246
1cjd , A ,  2  , 369 ,  0.317
1ejj , A ,  2  , 508 ,  0.085
2auw , A ,  2  , 156 ,  0.160
1c4a , A ,  3  , 574 ,  0.181
1jrp , A ,  4  , 450 ,  0.207
1bpo , A ,  2  , 487 ,  0.133
1d2k , A ,  2  , 392 ,  0.304
1aof , A ,  2  , 532 ,  0.226
1qd1 , A ,  2  , 329 ,  0.106
1eut , A ,  3  , 601 ,  0.153
2evr , A ,  2  , 240 ,  0.192
1dlc , A ,  3  , 584 ,  0.224
1nh2 , A ,  2  , 183 ,  0.153
1i3q , C ,  2  , 266 ,  0.192
1g6l , A ,  2  , 198 ,  0.439
1a3x , A ,  3  , 487 ,  0.398
1lsl , A ,  2  , 113 ,  0.044
1q2l , A ,  4  , 937 ,  0.048
1d1d , A ,  2  , 220 ,  0.091
1f00 , I ,  3  , 282 ,  0.110
2oce , A ,  5  , 729 ,  0.073
1qhd , A ,  2  , 397 ,  0.139
1eqj , A ,  2  , 508 ,  0.085
1a6q , A ,  2  , 363 ,  0.262
1cli , A ,  2  , 341 ,  0.282
1j4w , A ,  2  , 145 ,  0.000
1aua , A ,  2  , 296 ,  0.270
1a65 , A ,  3  , 504 ,  0.355
2gli , A ,  5  , 155 ,  0.090
1bp1 , A ,  2  , 456 ,  0.204
1ctn , A ,  3  , 538 ,  0.212
1mla , A ,  2  , 305 ,  0.269
1cqx , A ,  3  , 403 ,  0.201
1dli , A ,  3  , 402 ,  0.134
1ufa , A ,  2  , 501 ,  0.261
1m2o , A ,  5  , 718 ,  0.174
3p0b , A ,  2  , 530 ,  0.277
1na6 , A ,  2  , 365 ,  0.252
1gof , A ,  3  , 639 ,  0.304
1cr5 , A ,  2  , 178 ,  0.202
1eqf , A ,  2  , 267 ,  0.120
1ulk , A ,  3  , 126 ,  0.310
1m1h , A ,  2  , 182 ,  0.071
1kny , A ,  2  , 253 ,  0.134
1g8f , A ,  3  , 510 ,  0.065
1e6v , B ,  2  , 436 ,  0.202
1sj8 , A ,  2  , 297 ,  0.370
1g3p , A ,  2  , 198 ,  0.131
1su4 , A ,  4  , 994 ,  0.074
1mms , A ,  2  , 133 ,  0.105
1ewf , A ,  2  , 474 ,  0.200
1m9s , A ,  5  , 523 ,  0.000
1an8 , A ,  2  , 206 ,  0.286
1bmf , A ,  3  , 487 ,  0.234
2bcg , G ,  3  , 442 ,  0.240
1dzf , A ,  2  , 211 ,  0.171
1rkc , A ,  2  , 258 ,  0.128
1b37 , A ,  2  , 459 ,  0.283
1jvs , A ,  3  , 382 ,  0.249
1ki0 , A ,  3  , 253 ,  0.024
1xc6 , A ,  5  , 971 ,  0.215
1dkg , A ,  2  , 158 ,  0.063
1miu , A ,  5  , 671 ,  0.094
1jv2 , A ,  4  , 927 ,  0.043
1f0i , A ,  2  , 504 ,  0.341
1xi8 , A ,  3  , 269 ,  0.126
1qr0 , A ,  2  , 228 ,  0.259
1div , A ,  2  , 149 ,  0.067
2qfi , A ,  2  , 286 ,  0.280
1hf2 , A ,  2  , 196 ,  0.189
1p42 , A ,  2  , 273 ,  0.520
1rc9 , A ,  2  , 221 ,  0.434
1giq , A ,  2  , 411 ,  0.092
1bdf , A ,  2  , 226 ,  0.195
1a8d , A ,  2  , 452 ,  0.131
1ukv , G ,  3  , 444 ,  0.243
1h0m , A ,  2  , 224 ,  0.268
1tvf , A ,  2  , 369 ,  0.358
1dx5 , I ,  3  , 118 ,  0.246
1or7 , A ,  2  , 181 ,  0.144
1f5y , A ,  2  , 85 ,  0.153
1ovn , A ,  2  , 229 ,  0.026
1bht , A ,  2  , 176 ,  0.045
1ou5 , A ,  2  , 344 ,  0.186
1ef1 , A ,  3  , 289 ,  0.166
1yln , A ,  2  , 225 ,  0.049
1dbh , A ,  2  , 332 ,  0.120
1k7t , A ,  4  , 170 ,  0.047
1shy , B ,  2  , 499 ,  0.226
1o4u , A ,  2  , 265 ,  0.211
1aqt , A ,  2  , 135 ,  0.356
3hn4 , A ,  3  , 259 ,  0.266
1fo1 , A ,  2  , 215 ,  0.084
1ll1 , A ,  3  , 590 ,  0.244
1e8c , A ,  3  , 482 ,  0.166
1aye , A ,  2  , 307 ,  0.479
1ais , B ,  2  , 193 ,  0.052
1dky , A ,  2  , 211 ,  0.213
1vcl , A ,  3  , 431 ,  0.193
1b6r , A ,  3  , 349 ,  0.229
1eg9 , A ,  2  , 447 ,  0.195
1r0v , A ,  3  , 244 ,  0.172
1ile , A ,  3  , 821 ,  0.145
1dfc , A ,  4  , 475 ,  0.295
1fpo , A ,  2  , 171 ,  0.187
1px5 , A ,  2  , 327 ,  0.205
1c5k , A ,  2  , 397 ,  0.191
1q25 , A ,  3  , 428 ,  0.114
1fu1 , A ,  2  , 174 ,  0.057
1dlp , A ,  2  , 233 ,  0.245
2q07 , A ,  3  , 266 ,  0.184
1a6d , A ,  3  , 503 ,  0.135
1okg , A ,  3  , 347 ,  0.170
3bzk , A ,  5  , 730 ,  0.071
1e2x , A ,  2  , 223 ,  0.090
1bbo , A ,  2  , 56 ,  0.107
1y7m , A ,  2  , 161 ,  0.273
1js8 , A ,  2  , 382 ,  0.335
1a16 , A ,  2  , 439 ,  0.134
1tte , A ,  2  , 215 ,  0.019
1ha0 , A ,  2  , 494 ,  0.119
1d5r , A ,  2  , 307 ,  0.101
1q4k , A ,  2  , 222 ,  0.234
