PDB , Chain , Domains, Length, Interaction Energy, Density, Radius of Gyration
1sj8 , A ,  2  , 297 ,  2.487 ,  0.034 ,  23.533
1g3p , A ,  2  , 198 ,  1.804 ,  0.039 ,  22.028
1su4 , A ,  4  , 994 ,  4.286 ,  0.022 ,  39.535
1mms , A ,  2  , 133 ,  1.278 ,  0.033 ,  17.167
1ewf , A ,  2  , 474 ,  2.556 ,  0.016 ,  36.933
1m9s , A ,  5  , 523 ,  1.123 ,  0.002 ,  66.254
1an8 , A ,  2  , 206 ,  2.067 ,  0.045 ,  18.303
1bmf , A ,  3  , 487 ,  3.476 ,  0.037 ,  28.944
2bcg , G ,  3  , 442 ,  3.486 ,  0.044 ,  23.922
1dzf , A ,  2  , 211 ,  1.916 ,  0.040 ,  21.526
1rkc , A ,  2  , 258 ,  1.700 ,  0.018 ,  27.777
1b37 , A ,  2  , 459 ,  3.574 ,  0.046 ,  26.827
1jvs , A ,  3  , 382 ,  3.154 ,  0.048 ,  22.657
1ki0 , A ,  3  , 253 ,  1.646 ,  0.027 ,  24.031
1xc6 , A ,  5  , 971 ,  5.598 ,  0.041 ,  32.919
1dkg , A ,  2  , 158 ,  0.593 ,  0.007 ,  32.378
1miu , A ,  5  , 671 ,  2.829 ,  0.011 ,  44.639
1jv2 , A ,  4  , 927 ,  2.718 ,  0.018 ,  40.463
1f0i , A ,  2  , 504 ,  4.180 ,  0.057 ,  21.804
1xi8 , A ,  3  , 269 ,  1.715 ,  0.037 ,  20.829
1qr0 , A ,  2  , 228 ,  2.162 ,  0.041 ,  20.714
1div , A ,  2  , 149 ,  0.883 ,  0.012 ,  43.603
2qfi , A ,  2  , 286 ,  2.042 ,  0.022 ,  26.516
1hf2 , A ,  2  , 196 ,  1.911 ,  0.046 ,  17.627
1p42 , A ,  2  , 273 ,  2.844 ,  0.059 ,  18.997
1rc9 , A ,  2  , 221 ,  2.213 ,  0.045 ,  19.131
1giq , A ,  2  , 411 ,  2.998 ,  0.037 ,  24.019
1bdf , A ,  2  , 226 ,  1.742 ,  0.027 ,  22.744
1a8d , A ,  2  , 452 ,  3.021 ,  0.035 ,  26.647
1ukv , G ,  3  , 444 ,  3.503 ,  0.044 ,  23.856
1h0m , A ,  2  , 224 ,  2.004 ,  0.039 ,  23.164
1tvf , A ,  2  , 369 ,  2.991 ,  0.044 ,  22.816
1dx5 , I ,  3  , 118 ,  1.076 ,  0.020 ,  22.031
1or7 , A ,  2  , 181 ,  1.458 ,  0.024 ,  21.901
1f5y , A ,  2  , 85 ,  0.856 ,  0.024 ,  43.525
1ovn , A ,  2  , 229 ,  1.731 ,  0.029 ,  21.704
1bht , A ,  2  , 176 ,  1.636 ,  0.039 ,  20.587
1ou5 , A ,  2  , 344 ,  2.516 ,  0.031 ,  24.069
