108,1sj8, A, 2,  0.98 ,  Contiguous
109,3kjd, B, 2,  0.87 ,  Contiguous
110,3feg, A, 2,  0.91 ,  Non-Contiguous
111,2p62, A, 2,  0.95 ,  Non-Contiguous
112,1lqs, L, 2,  1.00 ,  Contiguous
113,2z6r, A, 2,  1.00 ,  Contiguous
114,2e6f, A, 2,  0.57 ,  Non-Contiguous
115,1skz, A, 2,  0.96 ,  Contiguous
116,1knx, B, 2,  1.00 ,  Contiguous
117,3dpo, A, 2,  0.97 ,  Contiguous
118,2fef, A, 2,  0.98 ,  Contiguous
119,1wku, B, 2,  0.98 ,  Contiguous
120,1xqs, C, 2,  0.96 ,  Non-Contiguous
121,1j5y, A, 2,  0.98 ,  Contiguous
122,1ng6, A, 2,  0.98 ,  Contiguous
123,1lck, A, 2,  1.00 ,  Contiguous
124,1div, A, 2,  1.00 ,  Contiguous
125,1nij, A, 2,  0.99 ,  Contiguous
126,1ush, A, 2,  0.99 ,  Contiguous
127,1ev7, A, 2,  0.98 ,  Contiguous
128,2o62, A, 2,  0.99 ,  Contiguous
129,2xn6, A, 2,  0.97 ,  Non-Contiguous
130,1h4a, X, 2,  1.00 ,  Contiguous
131,2ra8, A, 2,  0.99 ,  Contiguous
132,3c9u, A, 2,  0.73 ,  Contiguous
133,3q8g, A, 2,  0.90 ,  Contiguous
134,2oux, A, 2,  0.96 ,  Contiguous
135,2qbw, A, 2,  0.97 ,  Contiguous
136,2fj8, A, 2,  1.00 ,  Contiguous
137,1ewf, A, 2,  0.97 ,  Non-Contiguous
138,2v3z, A, 2,  0.98 ,  Contiguous
139,1br9, A, 2,  0.91 ,  Non-Contiguous
140,3eam, A, 2,  0.98 ,  Contiguous
141,1nty, A, 2,  0.98 ,  Contiguous
142,3gyx, A, 2,  0.75 ,  Non-Contiguous
143,1ryi, A, 2,  0.96 ,  Non-Contiguous
144,1on2, A, 2,  0.99 ,  Contiguous
145,1wqg, A, 2,  0.76 ,  Non-Contiguous
146,1k3e, A, 2,  0.92 ,  Non-Contiguous
147,1b37, A, 2,  0.83 ,  Non-Contiguous
148,1xub, A, 2,  0.96 ,  Non-Contiguous
149,2pqc, A, 2,  0.95 ,  Non-Contiguous
150,1sei, A, 2,  0.98 ,  Contiguous
151,2ewj, A, 2,  0.92 ,  Non-Contiguous
152,1i7o, A, 2,  0.99 ,  Contiguous
153,3bwh, A, 2,  0.92 ,  Contiguous
154,1vme, B, 2,  0.99 ,  Contiguous
155,1poi, A, 2,  0.89 ,  Non-Contiguous
156,3bqw, A, 2,  0.78 ,  Non-Contiguous
157,3bu2, A, 2,  0.92 ,  Non-Contiguous
158,1yua, A, 2,  0.99 ,  Contiguous
159,1wpb, O, 2,  0.99 ,  Contiguous
160,3ci0, J, 2,  0.97 ,  Contiguous
161,1mow, G, 2,  1.00 ,  Contiguous
162,1whe, A, 2,  1.00 ,  Contiguous
163,3n81, G, 2,  0.99 ,  Non-Contiguous
164,1p5q, A, 2,  0.76 ,  Contiguous
165,2vqe, M, 2,  0.99 ,  Contiguous
166,1uun, A, 2,  0.95 ,  Non-Contiguous
167,3e00, A, 2,  1.00 ,  Contiguous
168,1txg, A, 2,  0.99 ,  Contiguous
169,1js8, A, 2,  0.85 ,  Contiguous
170,1k82, B, 2,  1.00 ,  Contiguous
171,2vsg, A, 2,  0.98 ,  Non-Contiguous
172,1ii7, A, 2,  0.93 ,  Non-Contiguous
173,1lko, A, 2,  0.79 ,  Contiguous
174,1eqf, A, 2,  0.96 ,  Non-Contiguous
175,2h88, B, 2,  1.00 ,  Contiguous
176,1g1t, A, 2,  1.00 ,  Contiguous
177,1n4w, A, 2,  0.75 ,  Non-Contiguous
178,3agf, A, 2,  0.99 ,  Non-Contiguous
179,1fjr, A, 2,  0.98 ,  Contiguous
180,1hdh, A, 2,  0.65 ,  Contiguous
181,1ocy, A, 2,  0.88 ,  Non-Contiguous
182,3b8m, C, 2,  0.93 ,  Non-Contiguous
183,2r9q, A, 2,  0.93 ,  Contiguous
184,1evl, A, 2,  0.99 ,  Contiguous
185,1su3, A, 2,  0.99 ,  Contiguous
186,1x7d, B, 2,  0.95 ,  Non-Contiguous
187,1y7m, A, 2,  0.96 ,  Contiguous
188,3b4n, A, 2,  0.90 ,  Contiguous
189,1vin, A, 2,  0.94 ,  Non-Contiguous
190,2jz4, A, 2,  1.00 ,  Contiguous
191,3im9, A, 2,  0.94 ,  Non-Contiguous
192,1af7, A, 2,  1.00 ,  Contiguous
193,1ccw, B, 2,  0.58 ,  Contiguous
194,1dw9, A, 2,  0.98 ,  Contiguous
195,2ehz, A, 2,  0.88 ,  Contiguous
196,1yz9, A, 2,  0.98 ,  Contiguous
197,1vcb, C, 2,  0.99 ,  Contiguous
198,2a06, B, 2,  0.94 ,  Contiguous
199,1xta, B, 2,  0.85 ,  Contiguous
200,2bf6, A, 2,  0.65 ,  Non-Contiguous
201,2v2g, D, 2,  0.96 ,  Contiguous
202,2d1c, A, 2,  0.99 ,  Contiguous
203,2phc, B, 2,  1.00 ,  Contiguous
204,1j5q, A, 2,  0.75 ,  Contiguous
205,1w3f, A, 2,  0.98 ,  Contiguous
206,1qd1, A, 2,  1.00 ,  Contiguous
207,2z37, A, 2,  0.70 ,  Non-Contiguous
208,1z0s, A, 2,  1.00 ,  Non-Contiguous
209,1ytb, A, 2,  0.93 ,  Non-Contiguous
210,1q7e, A, 2,  0.83 ,  Non-Contiguous
211,1u8b, A, 2,  0.99 ,  Contiguous
212,1m1h, A, 2,  0.99 ,  Non-Contiguous
213,1e3d, A, 2,  0.99 ,  Contiguous
214,1l5o, A, 2,  0.96 ,  Non-Contiguous
215,1kgd, A, 2,  0.85 ,  Non-Contiguous
216,2vqe, D, 2,  0.93 ,  Non-Contiguous
217,3bb0, A, 2,  0.88 ,  Contiguous
218,1ra0, A, 2,  0.99 ,  Non-Contiguous
219,1jj2, K, 2,  0.99 ,  Contiguous
220,1ssq, A, 2,  1.00 ,  Contiguous
221,3n4i, B, 2,  0.99 ,  Contiguous
222,3c8c, B, 2,  0.97 ,  Non-Contiguous
223,2ghj, B, 2,  0.99 ,  Contiguous
224,3cov, A, 2,  1.00 ,  Contiguous
225,1xqo, A, 2,  1.00 ,  Non-Contiguous
226,3f6y, A, 2,  0.96 ,  Non-Contiguous
227,2wr1, C, 2,  0.85 ,  Non-Contiguous
228,2pif, A, 2,  0.96 ,  Non-Contiguous
229,3p0b, A, 2,  0.77 ,  Contiguous
230,1iak, B, 2,  0.99 ,  Contiguous
231,1n93, X, 2,  0.99 ,  Contiguous
232,2dpm, A, 2,  0.99 ,  Non-Contiguous
233,1vzy, A, 2,  1.00 ,  Contiguous
234,2h88, C, 2,  0.65 ,  Contiguous
235,3i4d, H, 2,  0.92 ,  Contiguous
236,2qia, A, 2,  0.80 ,  Contiguous
237,2zp1, A, 2,  0.99 ,  Contiguous
238,1i2a, A, 2,  1.00 ,  Non-Contiguous
239,2e5y, A, 2,  1.00 ,  Contiguous
240,1clc, A, 2,  0.72 ,  Contiguous
241,1s2o, A, 2,  0.95 ,  Non-Contiguous
242,1mgp, A, 2,  1.00 ,  Contiguous
243,1t2d, A, 2,  1.00 ,  Contiguous
244,1xt0, B, 2,  1.00 ,  Contiguous
245,1r1h, A, 2,  0.95 ,  Non-Contiguous
246,1v33, A, 2,  0.97 ,  Non-Contiguous
247,1k30, A, 2,  0.85 ,  Contiguous
248,1a8v, A, 2,  0.98 ,  Contiguous
249,2aj2, A, 2,  0.99 ,  Non-Contiguous
250,2pv7, A, 2,  0.99 ,  Contiguous
251,3c2u, A, 2,  1.00 ,  Contiguous
252,1c7c, A, 2,  1.00 ,  Contiguous
253,1r0m, A, 2,  0.68 ,  Non-Contiguous
254,1rzh, M, 2,  0.52 ,  Contiguous
255,2fpn, A, 2,  0.97 ,  Contiguous
256,1n7u, A, 2,  0.95 ,  Non-Contiguous
257,1a41, A, 2,  0.99 ,  Contiguous
258,1gmu, A, 2,  0.99 ,  Contiguous
259,1zcn, A, 2,  0.88 ,  Contiguous
260,2c7p, A, 2,  0.94 ,  Non-Contiguous
261,3jr3, A, 2,  0.93 ,  Non-Contiguous
262,3cwv, A, 2,  0.99 ,  Contiguous
263,1vqz, A, 2,  0.98 ,  Contiguous
264,2c0g, A, 2,  1.00 ,  Contiguous
265,1e3a, A, 2,  0.98 ,  Contiguous
266,2p1g, A, 2,  0.93 ,  Non-Contiguous
267,1uha, A, 2,  0.98 ,  Contiguous
268,1w5r, A, 2,  0.67 ,  Non-Contiguous
269,2aaf, B, 2,  0.69 ,  Non-Contiguous
270,1rlh, A, 2,  0.65 ,  Non-Contiguous
271,3fmt, E, 2,  1.00 ,  Contiguous
272,1lsl, A, 2,  1.00 ,  Contiguous
273,1o9i, A, 2,  0.93 ,  Contiguous
274,1dl5, A, 2,  0.85 ,  Contiguous
275,2a9d, A, 2,  0.87 ,  Contiguous
276,1dkg, A, 2,  0.63 ,  Contiguous
277,1ppr, M, 2,  1.00 ,  Contiguous
278,2i71, A, 2,  0.92 ,  Non-Contiguous
279,3c24, A, 2,  0.96 ,  Contiguous
280,2ph7, A, 2,  0.88 ,  Contiguous
281,2fb5, A, 2,  0.94 ,  Contiguous
282,2jhf, A, 2,  0.84 ,  Non-Contiguous
283,1al6, A, 2,  0.97 ,  Non-Contiguous
284,1eqj, A, 2,  0.99 ,  Non-Contiguous
285,2auw, A, 2,  0.99 ,  Contiguous
286,2o2k, A, 2,  0.95 ,  Non-Contiguous
287,3qxz, A, 2,  0.96 ,  Contiguous
288,1lnz, A, 2,  0.99 ,  Contiguous
289,1k5n, A, 2,  1.00 ,  Contiguous
290,1dzf, A, 2,  0.99 ,  Contiguous
291,1qiu, A, 2,  0.99 ,  Contiguous
292,1ux6, A, 2,  1.00 ,  Contiguous
293,1joc, A, 2,  0.84 ,  Contiguous
