1yc9 , A , 2 , 416 ,  0.125 ,  0.011 ,  38.345
3iac , B , 2 , 458 ,  0.181 ,  0.044 ,  23.849
1gup , A , 2 , 347 ,  0.245 ,  0.046 ,  22.041
3knh , M , 2 , 120 ,  0.083 ,  0.016 ,  26.220
3hhw , K , 2 , 421 ,  0.057 ,  0.026 ,  27.784
1a0r , P , 2 , 188 ,  0.027 ,  0.021 ,  23.509
1n7z , A , 2 , 316 ,  0.076 ,  0.027 ,  23.946
1h3i , A , 2 , 293 ,  0.181 ,  0.035 ,  21.899
1a79 , B , 2 , 171 ,  0.076 ,  0.042 ,  18.151
2d1z , A , 2 , 427 ,  0.145 ,  0.036 ,  25.602
3c2u , B , 2 , 554 ,  0.164 ,  0.050 ,  25.806
3edp , B , 2 , 214 ,  0.280 ,  0.033 ,  20.836
1m3y , A , 2 , 413 ,  0.203 ,  0.041 ,  23.954
3mty , A , 2 , 262 ,  0.393 ,  0.069 ,  16.742
3bnj , A , 2 , 477 ,  0.172 ,  0.047 ,  23.704
3rf3 , A , 2 , 258 ,  0.097 ,  0.018 ,  87.350
2hsi , A , 2 , 231 ,  0.247 ,  0.051 ,  19.100
2cx1 , A , 2 , 181 ,  0.166 ,  0.048 ,  17.511
1umk , A , 2 , 271 ,  0.085 ,  0.048 ,  19.995
1c0m , C , 2 , 222 ,  0.185 ,  0.040 ,  20.370
1du3 , A , 2 , 90 ,  0.133 ,  0.023 ,  17.680
1juh , A , 2 , 334 ,  0.225 ,  0.056 ,  20.948
2qj2 , B , 2 , 180 ,  0.033 ,  0.039 ,  18.741
1qvj , A , 2 , 293 ,  0.078 ,  0.037 ,  22.149
1n1b , B , 2 , 520 ,  0.133 ,  0.043 ,  25.081
2vd8 , B , 2 , 374 ,  0.144 ,  0.036 ,  23.554
1wtd , A , 2 , 264 ,  0.117 ,  0.024 ,  23.941
1mty , G , 2 , 162 ,  0.228 ,  0.032 ,  40.335
1s9r , B , 2 , 409 ,  0.247 ,  0.054 ,  21.612
1h03 , P , 2 , 125 ,  0.096 ,  0.015 ,  22.469
3mg1 , A , 2 , 313 ,  0.096 ,  0.043 ,  21.443
1vfg , B , 2 , 358 ,  0.134 ,  0.025 ,  27.018
2eiy , B , 2 , 304 ,  0.132 ,  0.046 ,  21.944
1jj2 , O , 2 , 143 ,  0.049 ,  0.005 ,  39.952
2r6i , B , 2 , 263 ,  0.190 ,  0.036 ,  22.492
1iuq , A , 2 , 350 ,  0.149 ,  0.046 ,  20.982
3mzf , A , 2 , 365 ,  0.104 ,  0.035 ,  24.201
2o2k , B , 2 , 342 ,  0.199 ,  0.039 ,  23.068
2jzx , A , 2 , 160 ,  0.362 ,  0.046 ,  17.582
2dpl , B , 2 , 278 ,  0.112 ,  0.039 ,  21.171
3gos , A , 2 , 270 ,  0.304 ,  0.042 ,  20.445
2bmr , A , 2 , 458 ,  0.203 ,  0.051 ,  23.443
1v0w , A , 2 , 497 ,  0.229 ,  0.057 ,  21.789
2wy6 , B , 2 , 365 ,  0.132 ,  0.048 ,  21.321
2abs , A , 2 , 374 ,  0.294 ,  0.058 ,  100.651
1c1d , A , 2 , 349 ,  0.175 ,  0.055 ,  20.236
2idj , D , 2 , 287 ,  0.195 ,  0.044 ,  20.266
2g3p , A , 2 , 201 ,  0.104 ,  0.038 ,  19.213
3f9m , A , 2 , 458 ,  0.183 ,  0.048 ,  23.096
3ney , F , 2 , 177 ,  0.107 ,  0.045 ,  19.538
1z53 , A , 2 , 299 ,  0.237 ,  0.056 ,  18.914
3qxz , B , 2 , 263 ,  0.221 ,  0.046 ,  20.542
1e5r , B , 2 , 262 ,  0.183 ,  0.041 ,  20.341
1kor , C , 2 , 386 ,  0.187 ,  0.035 ,  26.112
3bge , A , 2 , 166 ,  0.139 ,  0.025 ,  20.722
3dbk , A , 2 , 298 ,  0.272 ,  0.054 ,  18.890
2wb0 , X , 2 , 315 ,  0.286 ,  0.037 ,  23.425
1bht , A , 2 , 176 ,  0.028 ,  0.039 ,  20.587
1xvi , B , 2 , 242 ,  0.202 ,  0.049 ,  19.451
3i5d , A , 2 , 324 ,  0.182 ,  0.017 ,  33.817
3k6m , A , 2 , 476 ,  0.208 ,  0.048 ,  24.891
1gkm , A , 2 , 507 ,  0.110 ,  0.034 ,  26.626
1feu , D , 2 , 189 ,  0.132 ,  0.025 ,  21.005
2fyt , A , 2 , 315 ,  0.140 ,  0.039 ,  21.818
1hf2 , A , 2 , 196 ,  0.117 ,  0.046 ,  17.627
2p1g , B , 2 , 231 ,  0.273 ,  0.052 ,  18.815
1eyq , B , 2 , 212 ,  0.325 ,  0.057 ,  17.315
1lf6 , A , 2 , 674 ,  0.125 ,  0.044 ,  27.201
3fxk , A , 2 , 364 ,  0.157 ,  0.043 ,  22.762
2i15 , B , 2 , 122 ,  0.180 ,  0.019 ,  20.288
