1ehs , A , 1 , 48 ,  7 ,  0 ,  3 ,  9 ,  19
1a73 , A , 1 , 162 ,  73 ,  0 ,  1 ,  12 ,  29
1roz , A , 1 , 336 ,  191 ,  0 ,  2 ,  13 ,  27
3g0m , A , 1 , 139 ,  63 ,  0 ,  18 ,  45 ,  84
1oxw , C , 1 , 350 ,  0 ,  0 ,  10 ,  30 ,  60
1oqv , A , 1 , 171 ,  70 ,  0 ,  20 ,  52 ,  86
3p1f , A , 1 , 119 ,  0 ,  0 ,  12 ,  36 ,  72
2ecs , A , 1 , 61 ,  20 ,  0 ,  9 ,  31 ,  50
1h16 , A , 1 , 765 ,  485 ,  0 ,  0 ,  2 ,  5
2w2e , A , 1 , 272 ,  118 ,  0 ,  4 ,  18 ,  44
1mp1 , A , 1 , 111 ,  43 ,  0 ,  18 ,  42 ,  84
2hi7 , B , 1 , 134 ,  42 ,  0 ,  7 ,  21 ,  36
2nwf , A , 1 , 148 ,  59 ,  0 ,  20 ,  49 ,  82
2x2v , A , 1 , 68 ,  43 ,  0 ,  3 ,  21 ,  49
3ku3 , B , 1 , 173 ,  67 ,  0 ,  0 ,  4 ,  12
1c5e , A , 1 , 95 ,  49 ,  0 ,  20 ,  60 ,  111
1o82 , A , 1 , 70 ,  28 ,  0 ,  26 ,  71 ,  116
1rss , A , 1 , 140 ,  57 ,  0 ,  5 ,  29 ,  53
2jaf , A , 1 , 244 ,  122 ,  0 ,  1 ,  18 ,  40
1rrz , A , 1 , 66 ,  18 ,  0 ,  11 ,  28 ,  59
1sb0 , A , 1 , 87 ,  34 ,  0 ,  10 ,  32 ,  66
2isb , A , 1 , 190 ,  88 ,  0 ,  16 ,  45 ,  86
1uxa , A , 1 , 185 ,  106 ,  0 ,  8 ,  33 ,  67
3sil , A , 1 , 383 ,  227 ,  0 ,  16 ,  33 ,  43
2wlv , A , 1 , 154 ,  65 ,  0 ,  10 ,  29 ,  68
2bs2 , C , 1 , 256 ,  146 ,  0 ,  0 ,  0 ,  19
1utg , A , 1 , 70 ,  16 ,  0 ,  7 ,  16 ,  35
1skn , P , 1 , 74 ,  18 ,  0 ,  3 ,  48 ,  81
2hd9 , A , 1 , 145 ,  66 ,  0 ,  20 ,  47 ,  93
3cmb , A , 1 , 264 ,  143 ,  0 ,  5 ,  14 ,  26
2rl8 , A , 1 , 148 ,  74 ,  0 ,  20 ,  41 ,  72
1wdc , A , 1 , 64 ,  36 ,  0 ,  0 ,  0 ,  8
1y0k , A , 1 , 180 ,  90 ,  0 ,  13 ,  42 ,  76
3ik5 , C , 1 , 117 ,  49 ,  0 ,  11 ,  31 ,  66
1so9 , A , 1 , 131 ,  42 ,  0 ,  0 ,  23 ,  48
1euw , A , 1 , 147 ,  44 ,  0 ,  6 ,  27 ,  52
1lr5 , B , 1 , 159 ,  87 ,  0 ,  10 ,  21 ,  72
2za4 , B , 1 , 89 ,  45 ,  0 ,  21 ,  56 ,  96
1w85 , I , 1 , 42 ,  17 ,  0 ,  17 ,  41 ,  84
3q6x , A , 1 , 253 ,  139 ,  0 ,  21 ,  36 ,  75
1iqz , A , 1 , 81 ,  29 ,  0 ,  20 ,  53 ,  103
2hba , A , 1 , 52 ,  20 ,  0 ,  9 ,  29 ,  67
