Chain:  2pjuA ,  Domains (CATH):  2 ,  Domain 1 :  11 - 88    177 - 196 ,  Domain 2 :  89 - 176 ,  Length:  187 ,  IS-Sum_2:  1.5 ,  IS-Sum_3:  14.3 ,  IS-Sum_4:  32.4 ,  Assigned Domain:  2
Chain:  1dmtA ,  Domains (CATH):  2 ,  Domain 1 :  54 - 103    431 - 482    530 - 749 ,  Domain 2 :  104 - 430    483 - 529 ,  Length:  696 ,  IS-Sum_2:  4.72 ,  IS-Sum_3:  11.4 ,  IS-Sum_4:  26.7 ,  Assigned Domain:  2
Chain:  2ah2A ,  Domains (CATH):  2 ,  Domain 1 :  1 - 370 ,  Domain 2 :  371 - 633 ,  Length:  640 ,  IS-Sum_2:  2.5 ,  IS-Sum_3:  12.8 ,  IS-Sum_4:  22.0 ,  Assigned Domain:  2
Chain:  1ignA ,  Domains (CATH):  2 ,  Domain 1 :  361 - 446    578 - 594 ,  Domain 2 :  447 - 577 ,  Length:  189 ,  IS-Sum_2:  0.926 ,  IS-Sum_3:  9.17 ,  IS-Sum_4:  16.9 ,  Assigned Domain:  2
Chain:  1f44A ,  Domains (CATH):  2 ,  Domain 1 :  20 - 130 ,  Domain 2 :  132 - 333 ,  Length:  316 ,  IS-Sum_2:  0.506 ,  IS-Sum_3:  10.1 ,  IS-Sum_4:  15.0 ,  Assigned Domain:  2
Chain:  1yqgA ,  Domains (CATH):  2 ,  Domain 1 :  2 - 150 ,  Domain 2 :  151 - 263 ,  Length:  254 ,  IS-Sum_2:  3.26 ,  IS-Sum_3:  16.0 ,  IS-Sum_4:  33.3 ,  Assigned Domain:  2
Chain:  1un8A ,  Domains (CATH):  2 ,  Domain 1 :  8 - 333 ,  Domain 2 :  351 - 550 ,  Length:  542 ,  IS-Sum_2:  0.267 ,  IS-Sum_3:  5.95 ,  IS-Sum_4:  15.7 ,  Assigned Domain:  2
Chain:  1zymA ,  Domains (CATH):  2 ,  Domain 1 :  3 - 20    147 - 249 ,  Domain 2 :  21 - 146 ,  Length:  247 ,  IS-Sum_2:  4.59 ,  IS-Sum_3:  18.4 ,  IS-Sum_4:  24.3 ,  Assigned Domain:  2
Chain:  2e74D ,  Domains (CATH):  2 ,  Domain 1 :  9 - 47 ,  Domain 2 :  48 - 179 ,  Length:  166 ,  IS-Sum_2:  1.86 ,  IS-Sum_3:  9.05 ,  IS-Sum_4:  17.7 ,  Assigned Domain:  2
Chain:  1juhA ,  Domains (CATH):  2 ,  Domain 1 :  3 - 145 ,  Domain 2 :  206 - 350 ,  Length:  334 ,  IS-Sum_2:  7.52 ,  IS-Sum_3:  20.4 ,  IS-Sum_4:  40.8 ,  Assigned Domain:  2
Chain:  1rzhH ,  Domains (CATH):  2 ,  Domain 1 :  12 - 116 ,  Domain 2 :  117 - 248 ,  Length:  239 ,  IS-Sum_2:  4.42 ,  IS-Sum_3:  14.2 ,  IS-Sum_4:  24.0 ,  Assigned Domain:  2
Chain:  1y6kR ,  Domains (CATH):  2 ,  Domain 1 :  2 - 103 ,  Domain 2 :  104 - 206 ,  Length:  205 ,  IS-Sum_2:  3.82 ,  IS-Sum_3:  21.9 ,  IS-Sum_4:  45.0 ,  Assigned Domain:  2
Chain:  1qbaA ,  Domains (CATH):  4 ,  Domain 1 :  28 - 169 ,  Domain 2 :  209 - 335 ,  Domain 3 :  336 - 819 ,  Domain 4 :  820 - 885 ,  Length:  858 ,  IS-Sum_2:  5.12 ,  IS-Sum_3:  10.8 ,  IS-Sum_4:  17.3 ,  Assigned Domain:  4
