2idb , A , 3 , 463 ,  0.130 ,  0.039
1np7 , B , 3 , 483 ,  0.215 ,  0.043
1evl , A , 2 , 401 ,  0.145 ,  0.033
3d3l , B , 2 , 447 ,  0.224 ,  0.045
1pfx , L , 4 , 133 ,  0.098 ,  0.014
1uzk , A , 3 , 151 ,  0.238 ,  0.036
1dw9 , A , 2 , 152 ,  0.039 ,  0.029
3nt1 , A , 2 , 554 ,  0.206 ,  0.047
1r1h , A , 2 , 696 ,  0.145 ,  0.043
1j7x , A , 2 , 298 ,  0.107 ,  0.034
1hv9 , A , 2 , 449 ,  0.045 ,  0.019
3ku3 , A , 2 , 321 ,  0.047 ,  0.018
1xsz , A , 3 , 384 ,  0.143 ,  0.042
1sox , A , 3 , 463 ,  0.220 ,  0.044
1noy , B , 2 , 346 ,  0.191 ,  0.039
1hn0 , A , 4 , 971 ,  0.060 ,  0.030
2i71 , A , 2 , 366 ,  0.131 ,  0.033
2jkb , A , 3 , 689 ,  0.170 ,  0.042
2vsg , A , 2 , 358 ,  0.075 ,  0.015
2uvo , A , 4 , 172 ,  0.017 ,  0.033
2oez , A , 2 , 265 ,  0.181 ,  0.032
1pxy , A , 4 , 465 ,  0.084 ,  0.035
1hd8 , A , 2 , 337 ,  0.095 ,  0.032
2fcw , B , 2 , 78 ,  0.090 ,  0.030
1t8s , A , 2 , 439 ,  0.098 ,  0.040
2gq1 , A , 2 , 304 ,  0.240 ,  0.052
1zja , A , 3 , 568 ,  0.227 ,  0.051
2dpl , A , 2 , 287 ,  0.108 ,  0.039
3k40 , A , 3 , 447 ,  0.123 ,  0.038
1xvi , A , 2 , 238 ,  0.197 ,  0.049
1vlo , A , 4 , 354 ,  0.150 ,  0.044
2pqc , A , 2 , 445 ,  0.128 ,  0.052
1bx4 , A , 2 , 342 ,  0.281 ,  0.058
2o36 , A , 3 , 654 ,  0.232 ,  0.040
1jgt , A , 2 , 490 ,  0.124 ,  0.051
2vqe , D , 2 , 208 ,  0.154 ,  0.043
2vqe , M , 2 , 125 ,  0.080 ,  0.015
1hdh , A , 2 , 524 ,  0.294 ,  0.059
2he7 , A , 3 , 297 ,  0.162 ,  0.038
1on2 , A , 2 , 135 ,  0.081 ,  0.031
3dcl , A , 3 , 272 ,  0.368 ,  0.057
2dsj , A , 3 , 423 ,  0.258 ,  0.049
2pif , A , 2 , 244 ,  0.164 ,  0.051
1oip , A , 3 , 251 ,  0.263 ,  0.050
3bl9 , B , 3 , 289 ,  0.024 ,  0.025
1svb , A , 4 , 395 ,  0.073 ,  0.014
3mvq , A , 3 , 495 ,  0.044 ,  0.044
3a21 , A , 4 , 616 ,  0.193 ,  0.049
1vcb , C , 2 , 142 ,  0.169 ,  0.036
1vq8 , B , 3 , 337 ,  0.053 ,  0.032
1vq8 , P , 3 , 143 ,  0.049 ,  0.005
1vq8 , W , 2 , 154 ,  0.221 ,  0.055
2im9 , A , 3 , 307 ,  0.358 ,  0.050
1qnt , A , 2 , 166 ,  0.127 ,  0.051
1x7d , B , 2 , 331 ,  0.224 ,  0.047
1nij , A , 2 , 317 ,  0.215 ,  0.043
1inl , C , 2 , 293 ,  0.201 ,  0.052
1p5q , A , 2 , 281 ,  0.096 ,  0.020
1x87 , B , 2 , 479 ,  0.081 ,  0.041
1mbm , D , 3 , 195 ,  0.256 ,  0.049
1vio , A , 3 , 230 ,  0.183 ,  0.043
1r8j , A , 2 , 272 ,  0.011 ,  0.021
2v2g , D , 2 , 219 ,  0.064 ,  0.034
5req , B , 3 , 619 ,  0.089 ,  0.034
1a1v , A , 3 , 429 ,  0.093 ,  0.038
1ccw , B , 2 , 483 ,  0.280 ,  0.057
3abq , A , 3 , 460 ,  0.000 ,  0.001
2pnw , A , 2 , 357 ,  0.109 ,  0.044
1fcd , A , 3 , 401 ,  0.105 ,  0.048
2nnu , A , 2 , 201 ,  0.149 ,  0.026
2zbk , B , 3 , 506 ,  0.089 ,  0.023
3kjd , B , 2 , 353 ,  0.125 ,  0.045
2d5b , A , 3 , 500 ,  0.144 ,  0.034
1knx , B , 2 , 304 ,  0.020 ,  0.020
1ytf , D , 2 , 100 ,  0.100 ,  0.025
1iak , B , 2 , 184 ,  0.043 ,  0.015
1u8v , A , 3 , 490 ,  0.200 ,  0.042
