1a79 A , 2 , 171 ,  0.058 ,  0.041
1brw A , 3 , 433 ,  0.268 ,  0.049
1fyb A , 2 , 111 ,  0.027 ,  0.010
1b47 A , 3 , 304 ,  0.158 ,  0.039
1a71 A , 2 , 374 ,  0.206 ,  0.052
1ubd C , 4 , 114 ,  0.061 ,  0.016
1ppr M , 2 , 312 ,  0.221 ,  0.038
1skz A , 2 , 104 ,  0.231 ,  0.039
1a8p A , 2 , 257 ,  0.195 ,  0.052
2oux A , 2 , 246 ,  0.093 ,  0.035
1nyq A , 4 , 642 ,  0.016 ,  0.027
1tg7 A , 5 , 971 ,  0.146 ,  0.042
1clc A , 2 , 541 ,  0.261 ,  0.049
1a6a A , 2 , 176 ,  0.182 ,  0.036
1pg0 A , 2 , 492 ,  0.169 ,  0.035
1x9y A , 2 , 346 ,  0.223 ,  0.050
1lbu A , 2 , 214 ,  0.285 ,  0.053
1ogp A , 2 , 388 ,  0.183 ,  0.049
2fef A , 2 , 283 ,  0.237 ,  0.049
1ca1 A , 2 , 370 ,  0.186 ,  0.047
1cjd A , 2 , 369 ,  0.209 ,  0.042
1ejj A , 2 , 508 ,  0.051 ,  0.049
2auw A , 2 , 156 ,  0.135 ,  0.031
1c4a A , 3 , 574 ,  0.117 ,  0.044
1jrp A , 4 , 450 ,  0.131 ,  0.044
1bpo A , 2 , 487 ,  0.094 ,  0.028
1d2k A , 2 , 392 ,  0.214 ,  0.050
1aof A , 2 , 532 ,  0.154 ,  0.048
1qd1 A , 2 , 329 ,  0.064 ,  0.053
1eut A , 3 , 601 ,  0.108 ,  0.036
2evr A , 2 , 240 ,  0.129 ,  0.050
1dlc A , 3 , 584 ,  0.173 ,  0.042
1nh2 A , 2 , 183 ,  0.087 ,  0.028
1i3q C , 2 , 266 ,  0.124 ,  0.025
1g6l A , 2 , 198 ,  0.303 ,  0.047
1a3x A , 3 , 487 ,  0.290 ,  0.044
1lsl A , 2 , 113 ,  0.035 ,  0.005
1q2l A , 4 , 937 ,  0.032 ,  0.028
1d1d A , 2 , 220 ,  0.064 ,  0.031
1f00 I , 3 , 282 ,  0.089 ,  0.013
2oce A , 5 , 729 ,  0.063 ,  0.024
1qhd A , 2 , 397 ,  0.106 ,  0.022
1eqj A , 2 , 508 ,  0.053 ,  0.049
1a6q A , 2 , 363 ,  0.168 ,  0.043
1cli A , 2 , 341 ,  0.185 ,  0.043
1j4w A , 2 , 145 ,  0.000 ,  0.004
1aua A , 2 , 296 ,  0.209 ,  0.046
1a65 A , 3 , 504 ,  0.234 ,  0.055
2gli A , 5 , 155 ,  0.071 ,  0.019
1bp1 A , 2 , 456 ,  0.143 ,  0.015
1ctn A , 3 , 538 ,  0.165 ,  0.035
1mla A , 2 , 305 ,  0.226 ,  0.055
1cqx A , 3 , 403 ,  0.146 ,  0.042
1dli A , 3 , 402 ,  0.104 ,  0.039
1ufa A , 2 , 501 ,  0.170 ,  0.049
1m2o A , 5 , 718 ,  0.128 ,  0.042
3p0b A , 2 , 530 ,  0.175 ,  0.051
1na6 A , 2 , 365 ,  0.164 ,  0.037
1gof A , 3 , 639 ,  0.222 ,  0.050
1cr5 A , 2 , 178 ,  0.118 ,  0.053
1eqf A , 2 , 267 ,  0.079 ,  0.036
1ulk A , 3 , 126 ,  0.206 ,  0.026
1m1h A , 2 , 182 ,  0.055 ,  0.030
1kny A , 2 , 253 ,  0.107 ,  0.032
1g8f A , 3 , 510 ,  0.053 ,  0.033
1e6v B , 2 , 436 ,  0.154 ,  0.043
1sj8 A , 2 , 297 ,  0.310 ,  0.034
1g3p A , 2 , 198 ,  0.106 ,  0.039
1su4 A , 4 , 994 ,  0.054 ,  0.022
1mms A , 2 , 133 ,  0.060 ,  0.033
1ewf A , 2 , 474 ,  0.152 ,  0.016
1m9s A , 5 , 523 ,  0.000 ,  0.002
1an8 A , 2 , 206 ,  0.214 ,  0.045
1bmf A , 3 , 487 ,  0.181 ,  0.037
2bcg G , 3 , 442 ,  0.176 ,  0.044
1dzf A , 2 , 211 ,  0.137 ,  0.040
1rkc A , 2 , 258 ,  0.120 ,  0.018
1b37 A , 2 , 459 ,  0.187 ,  0.046
1jvs A , 3 , 382 ,  0.175 ,  0.048
1ki0 A , 3 , 253 ,  0.016 ,  0.027
1xc6 A , 5 , 971 ,  0.145 ,  0.041
1dkg A , 2 , 158 ,  0.063 ,  0.007
1miu A , 5 , 671 ,  0.060 ,  0.011
1jv2 A , 4 , 927 ,  0.032 ,  0.018
1f0i A , 2 , 504 ,  0.226 ,  0.057
1xi8 A , 3 , 269 ,  0.093 ,  0.037
1qr0 A , 2 , 228 ,  0.149 ,  0.041
1div A , 2 , 149 ,  0.067 ,  0.012
2qfi A , 2 , 286 ,  0.217 ,  0.022
1hf2 A , 2 , 196 ,  0.117 ,  0.046
1p42 A , 2 , 273 ,  0.370 ,  0.059
1rc9 A , 2 , 221 ,  0.308 ,  0.045
1giq A , 2 , 411 ,  0.051 ,  0.037
1bdf A , 2 , 226 ,  0.133 ,  0.027
1a8d A , 2 , 452 ,  0.091 ,  0.035
1ukv G , 3 , 444 ,  0.182 ,  0.044
1h0m A , 2 , 224 ,  0.201 ,  0.039
1tvf A , 2 , 369 ,  0.279 ,  0.044
1dx5 I , 3 , 118 ,  0.195 ,  0.020
1or7 A , 2 , 181 ,  0.116 ,  0.024
1f5y A , 2 , 85 ,  0.106 ,  0.024
1ovn A , 2 , 229 ,  0.017 ,  0.029
1bht A , 2 , 176 ,  0.028 ,  0.039
1ou5 A , 2 , 344 ,  0.163 ,  0.031
1ef1 A , 3 , 289 ,  0.104 ,  0.035
1yln A , 2 , 225 ,  0.040 ,  0.021
1dbh A , 2 , 332 ,  0.099 ,  0.029
1k7t A , 4 , 170 ,  0.018 ,  0.032
1shy B , 2 , 499 ,  0.164 ,  0.043
1o4u A , 2 , 265 ,  0.147 ,  0.029
1aqt A , 2 , 135 ,  0.267 ,  0.042
3hn4 A , 3 , 259 ,  0.208 ,  0.040
1fo1 A , 2 , 215 ,  0.056 ,  0.028
1ll1 A , 3 , 590 ,  0.164 ,  0.051
1e8c A , 3 , 482 ,  0.135 ,  0.041
1aye A , 2 , 307 ,  0.349 ,  0.059
1ais B , 2 , 193 ,  0.036 ,  0.037
1dky A , 2 , 211 ,  0.147 ,  0.029
1vcl A , 3 , 431 ,  0.130 ,  0.044
1b6r A , 3 , 349 ,  0.181 ,  0.045
1eg9 A , 2 , 447 ,  0.157 ,  0.048
1r0v A , 3 , 244 ,  0.135 ,  0.032
1ile A , 3 , 821 ,  0.108 ,  0.025
1dfc A , 4 , 475 ,  0.221 ,  0.040
1fpo A , 2 , 171 ,  0.140 ,  0.024
1px5 A , 2 , 327 ,  0.150 ,  0.043
1c5k A , 2 , 397 ,  0.134 ,  0.041
1q25 A , 3 , 428 ,  0.072 ,  0.040
1fu1 A , 2 , 174 ,  0.057 ,  0.013
1dlp A , 2 , 233 ,  0.167 ,  0.047
2q07 A , 3 , 266 ,  0.150 ,  0.033
1a6d A , 3 , 503 ,  0.101 ,  0.027
1okg A , 3 , 347 ,  0.101 ,  0.037
3bzk A , 5 , 730 ,  0.059 ,  0.025
1e2x A , 2 , 223 ,  0.058 ,  0.029
1bbo A , 2 , 56 ,  0.089 ,  0.027
1y7m A , 2 , 161 ,  0.180 ,  0.047
1js8 A , 2 , 382 ,  0.236 ,  0.051
1a16 A , 2 , 439 ,  0.089 ,  0.033
1tte A , 2 , 215 ,  0.014 ,  0.023
1ha0 A , 2 , 494 ,  0.083 ,  0.012
1d5r A , 2 , 307 ,  0.072 ,  0.038
1q4k A , 2 , 222 ,  0.189 ,  0.046
