3 , ('1', '20', '5') , 16
2 , ('2', '60', '120') , 6
2 , ('3', '40', '1030') , 1
2 , ('3', '30', '60') , 2
2 , ('3', '40', '970') , 0
2 , ('1', '10', '3090') , 0
2 , ('3', '10', '430') , 2
2 , ('3', '10', '129') , 0
4 , ('1', '10', '220') , 1
3 , ('1', '20', '272') , 7
2 , ('3', '90', '50') , 0
2 , ('3', '30', '1700') , 0
2 , ('3', '30', '1130') , 1
2 , ('3', '40', '140') , 0
2 , ('3', '40', '525') , 0
3 , ('3', '90', '1330') , 0
2 , ('2', '60', '120') , 6
2 , ('2', '160', '20') , 0
3 , ('3', '30', '210') , 0
2 , ('1', '20', '85') , 3
2 , ('1', '10', '10') , 4
2 , ('3', '10', '490') , 0
2 , ('1', '10', '3190') , 1
3 , None , 136
2 , ('3', '40', '810') , 0
2 , ('2', '30', '30') , 4
2 , ('1', '10', '3730') , 0
2 , ('3', '80', '10') , 1
2 , ('2', '60', '40') , 50
4 , ('1', '10', '8') , 6
4 , None , 136
2 , ('3', '40', '50') , 48
2 , ('3', '40', '50') , 48
2 , ('3', '30', '1680') , 0
2 , ('2', '80', '10') , 4
4 , ('3', '30', '210') , 24
2 , ('2', '10', '10') , 0
3 , ('2', '40', '20') , 0
2 , ('1', '10', '10') , 4
2 , ('3', '40', '1410') , 0
3 , ('3', '90', '190') , 2
2 , ('3', '40', '630') , 0
2 , None , 104
3 , ('3', '30', '1750') , 0
2 , ('1', '10', '760') , 1
4 , ('2', '60', '40') , 62
2 , ('3', '30', '40') , 0
2 , ('1', '10', '3050') , 0
3 , ('3', '30', '465') , 0
2 , ('1', '10', '12') , 1
3 , ('3', '40', '1350') , 0
2 , ('1', '10', '168') , 0
2 , ('1', '10', '510') , 16
2 , ('1', '10', '3640') , 0
2 , ('3', '30', '1390') , 0
2 , ('3', '30', '505') , 0
2 , ('1', '20', '120') , 1
2 , ('3', '40', '630') , 0
2 , None , 104
3 , ('1', '10', '1750') , 0
3 , ('1', '20', '50') , 0
2 , ('1', '20', '1280') , 0
2 , ('3', '40', '47') , 4
2 , ('1', '10', '1410') , 0
2 , ('3', '20', '180') , 0
3 , ('2', '60', '40') , 22
2 , ('2', '60', '260') , 0
3 , ('2', '70', '130') , 0
3 , ('1', '10', '3280') , 0
2 , ('1', '10', '10') , 4
3 , ('1', '10', '1670') , 4
2 , ('3', '90', '1490') , 0
3 , ('3', '30', '1670') , 0
4 , ('3', '40', '50') , 11
2 , ('2', '40', '440') , 0
2 , ('3', '90', '220') , 0
3 , ('3', '40', '1470') , 0
2 , ('3', '40', '1130') , 0
