1qnt , A , 2 , 166 ,  0.127 ,  0.051 ,  16.770
1x7d , B , 2 , 331 ,  0.224 ,  0.047 ,  21.035
1nij , A , 2 , 317 ,  0.215 ,  0.043 ,  21.392
1inl , C , 2 , 293 ,  0.201 ,  0.052 ,  20.010
1p5q , A , 2 , 281 ,  0.096 ,  0.020 ,  27.794
1x87 , B , 2 , 479 ,  0.081 ,  0.041 ,  24.307
1r8j , A , 2 , 272 ,  0.011 ,  0.021 ,  25.040
2v2g , D , 2 , 219 ,  0.064 ,  0.034 ,  20.315
1ccw , B , 2 , 483 ,  0.280 ,  0.057 ,  23.460
2pnw , A , 2 , 357 ,  0.109 ,  0.044 ,  22.050
2nnu , A , 2 , 201 ,  0.149 ,  0.026 ,  21.611
3kjd , B , 2 , 353 ,  0.125 ,  0.045 ,  22.522
1knx , B , 2 , 304 ,  0.020 ,  0.020 ,  27.561
1ytf , D , 2 , 100 ,  0.100 ,  0.025 ,  17.158
1iak , B , 2 , 184 ,  0.043 ,  0.015 ,  26.428
1z0s , A , 2 , 249 ,  0.096 ,  0.045 ,  19.504
2i15 , A , 2 , 122 ,  0.164 ,  0.019 ,  20.925
1cyy , A , 2 , 251 ,  0.052 ,  0.021 ,  26.954
1d3y , A , 2 , 289 ,  0.194 ,  0.036 ,  21.698
1af7 , A , 2 , 274 ,  0.117 ,  0.037 ,  21.620
1al6 , A , 2 , 435 ,  0.161 ,  0.047 ,  22.223
1rkq , A , 2 , 271 ,  0.177 ,  0.055 ,  18.533
1orb , A , 2 , 293 ,  0.177 ,  0.052 ,  19.948
1k82 , B , 2 , 260 ,  0.119 ,  0.040 ,  19.840
1sei , A , 2 , 130 ,  0.146 ,  0.049 ,  15.421
2v3z , A , 2 , 465 ,  0.092 ,  0.035 ,  27.194
1rut , X , 2 , 160 ,  0.081 ,  0.016 ,  23.930
1lnz , A , 2 , 332 ,  0.157 ,  0.019 ,  30.443
1j5y , A , 2 , 167 ,  0.138 ,  0.032 ,  19.554
2qbw , A , 2 , 191 ,  0.131 ,  0.030 ,  19.965
1rku , A , 2 , 206 ,  0.165 ,  0.045 ,  18.263
3prc , C , 2 , 333 ,  0.237 ,  0.039 ,  24.295
