1r1h , A , 2 , 696 ,  0.145 ,  0.043 ,  26.953
1j7x , A , 2 , 298 ,  0.107 ,  0.034 ,  23.245
1hv9 , A , 2 , 449 ,  0.060 ,  0.019 ,  47.869
3ku3 , A , 2 , 328 ,  0.055 ,  0.019 ,  29.548
1xsz , A , 3 , 384 ,  0.133 ,  0.042 ,  22.883
1sox , A , 3 , 463 ,  0.220 ,  0.044 ,  25.262
1noy , B , 2 , 346 ,  0.182 ,  0.039 ,  23.851
1hn0 , A , 4 , 971 ,  0.060 ,  0.030 ,  35.115
2i71 , A , 2 , 366 ,  0.131 ,  0.033 ,  24.686
2jkb , A , 3 , 689 ,  0.170 ,  0.042 ,  27.443
2vsg , A , 2 , 358 ,  0.075 ,  0.015 ,  31.668
2uvo , A , 4 , 172 ,  0.017 ,  0.033 ,  18.798
2oez , A , 2 , 265 ,  0.181 ,  0.032 ,  22.952
1pxy , A , 4 , 465 ,  0.084 ,  0.035 ,  25.692
1hd8 , A , 2 , 337 ,  0.095 ,  0.032 ,  23.854
2fcw , B , 2 , 78 ,  0.090 ,  0.030 ,  15.976
1t8s , A , 2 , 439 ,  0.098 ,  0.040 ,  33.525
2gq1 , A , 2 , 304 ,  0.240 ,  0.052 ,  19.543
1zja , A , 3 , 568 ,  0.224 ,  0.051 ,  23.259
2dpl , A , 2 , 287 ,  0.108 ,  0.039 ,  20.985
3k40 , A , 3 , 447 ,  0.123 ,  0.038 ,  24.773
1xvi , A , 2 , 238 ,  0.197 ,  0.049 ,  18.560
1vlo , A , 4 , 354 ,  0.150 ,  0.044 ,  21.487
2pqc , A , 2 , 445 ,  0.128 ,  0.052 ,  29.530
1bx4 , A , 2 , 342 ,  0.281 ,  0.058 ,  20.452
2o36 , A , 3 , 654 ,  0.232 ,  0.040 ,  27.347
1jgt , A , 2 , 490 ,  0.124 ,  0.051 ,  25.016
2vqe , D , 2 , 208 ,  0.173 ,  0.043 ,  25.484
2vqe , M , 2 , 125 ,  0.080 ,  0.015 ,  34.887
1hdh , A , 2 , 524 ,  0.292 ,  0.059 ,  22.932
2he7 , A , 3 , 297 ,  0.162 ,  0.038 ,  22.371
1on2 , A , 2 , 135 ,  0.081 ,  0.031 ,  22.489
3dcl , A , 3 , 272 ,  0.371 ,  0.057 ,  18.700
2dsj , A , 3 , 423 ,  0.232 ,  0.049 ,  23.571
2pif , A , 2 , 244 ,  0.164 ,  0.051 ,  19.742
1oip , A , 3 , 251 ,  0.263 ,  0.050 ,  18.031
3bl9 , B , 3 , 289 ,  0.024 ,  0.025 ,  23.871
1svb , A , 4 , 395 ,  0.073 ,  0.014 ,  34.370
3mvq , A , 3 , 495 ,  0.048 ,  0.044 ,  25.934
3a21 , A , 4 , 616 ,  0.193 ,  0.049 ,  25.188
1vcb , C , 2 , 142 ,  0.169 ,  0.036 ,  19.883
1vq8 , B , 3 , 337 ,  0.053 ,  0.032 ,  32.248
1vq8 , P , 3 , 143 ,  0.049 ,  0.005 ,  39.966
1vq8 , W , 2 , 154 ,  0.221 ,  0.055 ,  20.311
2im9 , A , 3 , 307 ,  0.329 ,  0.050 ,  19.604
1qnt , A , 2 , 166 ,  0.127 ,  0.051 ,  16.770
1x7d , B , 2 , 331 ,  0.224 ,  0.047 ,  21.035
1nij , A , 2 , 317 ,  0.215 ,  0.043 ,  21.392
1inl , C , 2 , 293 ,  0.246 ,  0.052 ,  20.010
1p5q , A , 2 , 281 ,  0.096 ,  0.020 ,  27.794
1x87 , B , 2 , 479 ,  0.081 ,  0.041 ,  24.307
1mbm , D , 3 , 195 ,  0.246 ,  0.049 ,  18.090
1vio , A , 3 , 230 ,  0.183 ,  0.043 ,  19.340
1r8j , A , 2 , 272 ,  0.011 ,  0.021 ,  25.040
2v2g , D , 2 , 219 ,  0.064 ,  0.034 ,  20.315
5req , B , 3 , 619 ,  0.089 ,  0.034 ,  28.780
1a1v , A , 3 , 429 ,  0.093 ,  0.038 ,  27.415
1ccw , B , 2 , 483 ,  0.280 ,  0.057 ,  23.460
3abq , A , 3 , 460 ,  0.204 ,  0.055 ,  94.088
2pnw , A , 2 , 357 ,  0.109 ,  0.044 ,  22.050
1fcd , A , 3 , 401 ,  0.105 ,  0.048 ,  21.543
2nnu , A , 2 , 201 ,  0.149 ,  0.026 ,  21.611
2zbk , B , 3 , 506 ,  0.089 ,  0.023 ,  32.918
3kjd , B , 2 , 353 ,  0.125 ,  0.045 ,  22.522
2d5b , A , 3 , 500 ,  0.144 ,  0.034 ,  27.210
1knx , B , 2 , 304 ,  0.020 ,  0.020 ,  27.561
1ytf , D , 2 , 100 ,  0.100 ,  0.025 ,  17.158
1iak , B , 2 , 185 ,  0.043 ,  0.015 ,  26.428
1u8v , A , 3 , 490 ,  0.200 ,  0.042 ,  26.219
2paj , A , 3 , 421 ,  0.273 ,  0.053 ,  21.873
2au3 , A , 4 , 403 ,  0.112 ,  0.035 ,  24.684
1z0s , A , 2 , 249 ,  0.096 ,  0.045 ,  19.504
2i15 , A , 2 , 122 ,  0.164 ,  0.019 ,  20.925
1cyy , A , 2 , 251 ,  0.052 ,  0.021 ,  26.954
1d3y , A , 2 , 289 ,  0.190 ,  0.036 ,  21.698
1af7 , A , 2 , 274 ,  0.117 ,  0.037 ,  21.620
1al6 , A , 2 , 435 ,  0.159 ,  0.047 ,  22.223
1rkq , A , 2 , 271 ,  0.177 ,  0.055 ,  18.533
1orb , A , 2 , 293 ,  0.177 ,  0.052 ,  19.948
1k82 , B , 2 , 260 ,  0.119 ,  0.040 ,  19.840
1sei , A , 2 , 130 ,  0.146 ,  0.049 ,  15.421
1d4v , A , 3 , 117 ,  0.103 ,  0.014 ,  24.786
2v3z , A , 2 , 465 ,  0.092 ,  0.035 ,  27.194
