No., PDB, Chain, Domains, CATH, K-Means, p-value
98,2hun, A, 2,  " Domain 1 :  3 - 179    220 - 242    279 - 297

Domain 2 :  180 - 219    243 - 278    298 - 334 " ,  " Domain 1 :  3 - 179    220 - 243

Domain 2 :  180 - 219    244 - 334 " ,  0.94
99,2i71, A, 2,  " Domain 1 :  -2 - 204    250 - 265

Domain 2 :  205 - 249    266 - 377 " ,  " Domain 1 :  -2 - 183    245 - 270

Domain 2 :  184 - 244    271 - 377 " ,  0.92
100,2i7d, A, 2,  " Domain 1 :  3 - 17    73 - 195

Domain 2 :  18 - 72 " ,  " Domain 1 :  76 - 195

Domain 2 :  3 - 75 " ,  0.91
101,2jhf, A, 2,  " Domain 1 :  1 - 178    318 - 374

Domain 2 :  179 - 317 " ,  " Domain 1 :  1 - 174

Domain 2 :  175 - 374 " ,  0.84
102,2o2k, A, 2,  " Domain 1 :  926 - 963    1029 - 1103    1131 - 1263

Domain 2 :  964 - 1028    1104 - 1130 " ,  " Domain 1 :  926 - 960    1031 - 1101    1142 - 1263

Domain 2 :  961 - 1030    1102 - 1141 " ,  0.95
103,2oez, A, 2,  " Domain 1 :  1 - 11    179 - 245

Domain 2 :  12 - 178 " ,  " Domain 1 :  61 - 102    167 - 245

Domain 2 :  1 - 60    103 - 166 " ,  0.73
104,2p1g, A, 2,  " Domain 1 :  26 - 122    137 - 170

Domain 2 :  123 - 136    171 - 256 " ,  " Domain 1 :  26 - 172

Domain 2 :  173 - 256 " ,  0.93
105,2p62, A, 2,  " Domain 1 :  1 - 136    230 - 241

Domain 2 :  137 - 229 " ,  " Domain 1 :  1 - 135

Domain 2 :  136 - 241 " ,  0.95
106,2phn, A, 2,  " Domain 1 :  2 - 49    122 - 228

Domain 2 :  50 - 121    229 - 249 " ,  " Domain 1 :  2 - 47    124 - 249

Domain 2 :  48 - 123 " ,  0.90
107,2pif, A, 2,  " Domain 1 :  7 - 127    242 - 262

Domain 2 :  128 - 240 " ,  " Domain 1 :  7 - 125    233 - 262

Domain 2 :  126 - 232 " ,  0.96
