2bgh , A , 2 , 224   , 86   138   , 74   78   72   , 71   56   60   37  
1n6c , A , 2 , 117   , 45   72   , 18   51   48   , 25   17   41   34  
2elc , A , 2 , 199   , 125   74   , 63   66   70   , 46   59   37   57  
1qo6 , A , 2 , 27   , 8   19   , 18   4   5   , 4   10   5   8  
1sj8 , A , 2 , 134   , 61   73   , 34   69   31   , 36   24   40   34  
3kjd , B , 2 , 179   , 124   55   , 56   45   78   , 44   55   36   44  
1lqs , L , 2 , 79   , 27   52   , 26   28   25   , 22   25   16   16  
2z6r , A , 2 , 152   , 67   85   , 31   67   54   , 40   30   39   43  
1skz , A , 2 , 27   , 16   11   , 4   11   12   , 4   10   2   11  
1knx , B , 2 , 178   , 106   72   , 17   71   90   , 87   28   17   46  
3dpo , A , 2 , 91   , 61   30   , 28   38   25   , 25   22   27   17  
2fef , A , 2 , 157   , 92   65   , 44   40   73   , 27   41   48   41  
1wku , B , 2 , 115   , 51   64   , 41   49   25   , 26   44   19   26  
1j5y , A , 2 , 68   , 28   40   , 32   22   14   , 26   22   10   10  
1ng6 , A , 2 , 49   , 16   33   , 16   8   25   , 10   16   8   15  
1lck , A , 2 , 62   , 18   44   , 18   18   26   , 14   18   17   13  
1div , A , 2 , 43   , 31   12   , 12   13   18   , 19   12   3   9  
1nij , A , 2 , 157   , 70   87   , 45   57   55   , 38   51   45   23  
1ush , A , 2 , 292   , 187   105   , 111   102   79   , 63   98   63   68  
1ev7 , A , 2 , 146   , 80   66   , 49   64   33   , 38   44   37   27  
2o62 , A , 2 , 139   , 50   89   , 43   52   44   , 34   45   30   30  
1h4a , X , 2 , 75   , 38   37   , 27   33   15   , 15   16   27   17  
2ra8 , A , 2 , 153   , 26   127   , 64   63   26   , 41   39   25   48  
3c9u , A , 2 , 186   , 104   82   , 35   91   60   , 62   33   56   35  
3q8g , A , 2 , 151   , 79   72   , 48   38   65   , 35   39   28   49  
2oux , A , 2 , 124   , 76   48   , 33   51   40   , 24   41   29   30  
2qbw , A , 2 , 79   , 30   49   , 41   24   14   , 20   13   22   24  
2fj8 , A , 2 , 37   , 20   17   , 12   10   15   , 9   12   6   10  
2v3z , A , 2 , 242   , 150   92   , 77   85   80   , 42   80   58   62  
3eam , A , 2 , 174   , 78   96   , 60   53   61   , 36   37   42   59  
1nty , A , 2 , 0   , 0   0   , 0   0   0   , 0   0   0   0  
1on2 , A , 2 , 61   , 34   27   , 25   24   12   , 14   13   23   11  
1sei , A , 2 , 56   , 26   30   , 29   14   13   , 10   10   12   24  
1i7o , A , 2 , 239   , 114   125   , 120   62   57   , 63   61   67   48  
3bwh , A , 2 , 123   , 82   41   , 38   48   37   , 32   31   38   22  
1vme , B , 2 , 240   , 152   88   , 80   83   77   , 75   46   81   38  
1yua , A , 2 , 41   , 17   24   , 13   9   19   , 7   14   12   8  
1wpb , O , 2 , 60   , 46   14   , 26   14   20   , 26   6   20   8  
3ci0 , J , 2 , 82   , 50   32   , 29   26   27   , 26   25   23   8  
1mow , G , 2 , 0   , 0   0   , 0   0   0   , 0   0   0   0  
1whe , A , 2 , 17   , 9   8   , 7   6   4   , 5   6   3   3  
1p5q , A , 2 , 128   , 81   47   , 63   12   53   , 52   2   31   43  
2vqe , M , 2 , 36   , 27   9   , 1   26   9   , 15   1   12   8  
3e00 , A , 2 , 150   , 117   33   , 33   62   55   , 31   33   36   50  
1txg , A , 2 , 198   , 99   99   , 60   69   69   , 56   44   49   49  
1js8 , A , 2 , 0   , 0   0   , 0   0   0   , 0   0   0   0  
1k82 , B , 2 , 136   , 66   70   , 64   31   41   , 57   28   24   27  
1lko , A , 2 , 75   , 38   37   , 16   32   27   , 20   13   22   20  
