1z0s , A , 2 , 249 ,  0.096
2i15 , A , 2 , 122 ,  0.164
1cyy , A , 2 , 251 ,  0.052
1d3y , A , 2 , 289 ,  0.194
1af7 , A , 2 , 274 ,  0.117
1al6 , A , 2 , 435 ,  0.159
1rkq , A , 2 , 271 ,  0.177
1orb , A , 2 , 293 ,  0.177
1k82 , B , 2 , 260 ,  0.119
1sei , A , 2 , 130 ,  0.146
1d4v , A , 3 , 117 ,  0.103
2v3z , A , 2 , 465 ,  0.092
2zyd , A , 3 , 464 ,  0.121
2iah , A , 3 , 752 ,  0.243
1pfo , A , 4 , 471 ,  0.119
1rut , X , 2 , 160 ,  0.081
1lnz , A , 2 , 332 ,  0.157
2jan , A , 3 , 419 ,  0.146
1j5y , A , 2 , 167 ,  0.138
1rwh , A , 3 , 755 ,  0.183
2ols , A , 4 , 725 ,  0.074
2qbw , A , 2 , 191 ,  0.131
1rku , A , 2 , 206 ,  0.165
3prc , C , 2 , 333 ,  0.237
1kb0 , A , 2 , 675 ,  0.258
1yqy , A , 3 , 514 ,  0.165
1wlf , A , 2 , 164 ,  0.165
3feg , A , 2 , 360 ,  0.061
2oza , A , 3 , 332 ,  0.105
2bgh , A , 2 , 413 ,  0.150
2gl6 , A , 2 , 321 ,  0.249
1ewr , A , 3 , 440 ,  0.173
2i5v , O , 2 , 259 ,  0.162
1v0u , A , 2 , 490 ,  0.247
2g8y , B , 3 , 354 ,  0.268
2haw , A , 2 , 315 ,  0.111
3h4s , A , 2 , 359 ,  0.000
2aaf , B , 2 , 408 ,  0.196
1w5r , A , 2 , 273 ,  0.271
3o08 , A , 3 , 471 ,  0.140
1fs0 , G , 2 , 219 ,  0.292
3ci0 , J , 2 , 146 ,  0.192
3ci0 , K , 3 , 280 ,  0.093
1l1l , A , 3 , 717 ,  0.137
3c6m , D , 3 , 278 ,  0.209
1u09 , A , 3 , 476 ,  0.174
3jr3 , A , 2 , 238 ,  0.160
2q14 , B , 2 , 390 ,  0.000
1p9b , A , 3 , 424 ,  0.248
1lqs , L , 2 , 142 ,  0.035
1acc , A , 4 , 665 ,  0.153
1ng6 , A , 2 , 148 ,  0.108
1kon , A , 3 , 233 ,  0.150
2r9r , H , 3 , 363 ,  0.017
2r9q , A , 2 , 327 ,  0.208
1e3a , A , 2 , 258 ,  0.163
2f4l , A , 3 , 268 ,  0.306
2px6 , A , 2 , 253 ,  0.178
1a3g , A , 2 , 295 ,  0.112
1lko , A , 2 , 191 ,  0.251
1w7c , A , 3 , 751 ,  0.178
1mgp , A , 2 , 270 ,  0.263
1y8q , D , 3 , 514 ,  0.099
2dkj , A , 2 , 402 ,  0.177
1a41 , A , 2 , 221 ,  0.109
1inp , A , 3 , 400 ,  0.245
1vky , B , 2 , 283 ,  0.117
3ktl , A , 2 , 221 ,  0.258
1qiu , A , 2 , 264 ,  0.045
1n6c , A , 2 , 283 ,  0.081
2xn6 , A , 2 , 349 ,  0.186
1prt , B , 2 , 196 ,  0.117
1wte , B , 2 , 272 ,  0.110
1xta , B , 2 , 219 ,  0.320
1eyq , A , 2 , 212 ,  0.307
1ux6 , A , 2 , 335 ,  0.206
1yua , A , 2 , 122 ,  0.230
2qia , A , 2 , 262 ,  0.237
2ghj , B , 2 , 90 ,  0.022
1now , A , 2 , 480 ,  0.163
3d1g , A , 3 , 366 ,  0.000
1olz , A , 3 , 621 ,  0.163
2pv7 , A , 2 , 270 ,  0.081
1c0w , A , 3 , 173 ,  0.150
1fn9 , A , 2 , 365 ,  0.104
3cj8 , B , 3 , 213 ,  0.070
2q0z , X , 3 , 282 ,  0.149
1nlt , A , 3 , 228 ,  0.105
2fml , A , 3 , 256 ,  0.125
3cvr , A , 4 , 469 ,  0.070
1cja , A , 2 , 327 ,  0.180
2c0g , A , 2 , 229 ,  0.017
1opl , B , 3 , 365 ,  0.118
1ygy , B , 4 , 527 ,  0.091
3c8v , C , 4 , 456 ,  0.160
1ab4 , A , 3 , 477 ,  0.065
1w59 , A , 3 , 350 ,  0.277
2zp1 , A , 2 , 308 ,  0.214
2rdz , A , 2 , 443 ,  0.187
1jmu , B , 4 , 608 ,  0.067
1zcn , A , 2 , 143 ,  0.399
1u8b , A , 2 , 128 ,  0.039
2hza , A , 2 , 129 ,  0.078
3dpo , A , 2 , 223 ,  0.161
3bu2 , A , 2 , 189 ,  0.032
2bw0 , A , 2 , 309 ,  0.117
3a9s , A , 3 , 589 ,  0.121
2b5e , A , 4 , 483 ,  0.101
3ml1 , A , 4 , 808 ,  0.167
3c18 , A , 3 , 295 ,  0.041
1o9i , A , 2 , 266 ,  0.188
1ual , A , 2 , 243 ,  0.000
2a06 , B , 2 , 423 ,  0.111
1kl7 , A , 3 , 503 ,  0.195
2e28 , A , 4 , 587 ,  0.135
1ii7 , A , 2 , 333 ,  0.141
3lie , A , 3 , 266 ,  0.124
3gvj , A , 4 , 698 ,  0.013
1goi , A , 3 , 497 ,  0.191
1vqz , A , 2 , 327 ,  0.156
3h47 , A , 2 , 203 ,  0.054
1nty , A , 2 , 320 ,  0.034
1qlm , A , 2 , 316 ,  0.256
3hbu , P , 2 , 463 ,  0.153
2fj8 , A , 2 , 120 ,  0.117
1dg3 , A , 2 , 540 ,  0.080
1k1y , B , 2 , 636 ,  0.148
1k5n , A , 2 , 285 ,  0.025
1dq3 , A , 4 , 454 ,  0.172
1a79 , A , 2 , 171 ,  0.058
1qzf , A , 3 , 519 ,  0.104
1hbn , B , 2 , 442 ,  0.115
1jey , B , 3 , 530 ,  0.079
1qtm , A , 4 , 539 ,  0.215
1u4g , A , 2 , 298 ,  0.272
3h9v , A , 2 , 329 ,  0.152
2h88 , B , 2 , 239 ,  0.163
2h88 , C , 2 , 139 ,  0.230
2re3 , A , 3 , 186 ,  0.183
1k2f , A , 2 , 190 ,  0.263
1b47 , A , 3 , 304 ,  0.158
2y1e , A , 3 , 374 ,  0.160
1lla , A , 3 , 600 ,  0.162
1ltl , A , 3 , 239 ,  0.234
1xt0 , B , 2 , 200 ,  0.165
2wxu , A , 2 , 361 ,  0.169
1sh0 , A , 4 , 502 ,  0.135
1kq3 , A , 2 , 364 ,  0.212
1xub , A , 2 , 290 ,  0.179
1ppr , M , 2 , 312 ,  0.221
3gku , A , 3 , 199 ,  0.186
1skz , A , 2 , 104 ,  0.231
1oct , C , 2 , 131 ,  0.015
2oux , A , 2 , 246 ,  0.093
1xfx , A , 4 , 735 ,  0.005
3fmt , E , 2 , 162 ,  0.019
3jyu , B , 2 , 213 ,  0.070
2bmo , A , 2 , 469 ,  0.186
1mow , G , 2 , 233 ,  0.210
1d5t , A , 3 , 433 ,  0.192
1t3q , C , 3 , 285 ,  0.253
2hbw , A , 2 , 251 ,  0.199
1q33 , A , 2 , 291 ,  0.079
2e5y , A , 2 , 133 ,  0.165
3ka2 , A , 2 , 200 ,  0.495
3k9o , A , 2 , 198 ,  0.222
1vme , B , 2 , 404 ,  0.099
1a8v , A , 2 , 115 ,  0.113
1td6 , A , 3 , 286 ,  0.161
2g50 , A , 3 , 546 ,  0.288
3e2o , A , 2 , 294 ,  0.238
1mje , A , 4 , 600 ,  0.038
1clc , A , 2 , 541 ,  0.261
2phn , A , 2 , 273 ,  0.158
