3k6m, a ,2,476,4.96,0.048,24.891,3k6m a ,3k6m,3k6m a 
1gkm, a ,2,507,2.683,0.034,26.626,1gkm a ,1gkm,1gkm a 
1feu, d ,2,189,3.546,0.025,21.005,1feu d ,1feu,1feu d 
2fyt, a ,2,315,3.484,0.039,21.818,2fyt a ,2fyt,2fyt a 
1hf2, a ,2,196,2.949,0.046,17.627,1hf2 a ,1hf2,1hf2 a 
2p1g, b ,2,231,7.491,0.052,18.815,2p1g b ,2p1g,2p1g b 
1eyq, b ,2,212,8.586,0.057,17.315,1eyq b ,1eyq,1eyq b 
1lf6, a ,2,674,2.98,0.044,27.201,1lf6 a ,1lf6,1lf6 a 
3fxk, a ,2,364,3.912,0.043,22.762,3fxk a ,3fxk,3fxk a 
2i15, b ,2,122,5.213,0.019,20.288,2i15 b ,2i15,2i15 b 
3cwc, b ,2,367,2.663,0.041,23.339,3cwc b ,3cwc,3cwc b 
1jqr, a ,2,174,5.53,0.044,19.007,1jqr a ,1jqr,1jqr a 
1wq1, g ,2,320,3.633,0.033,23.205,1wq1 g ,1wq1,1wq1 g 
1cjs, a ,2,212,1.714,0.034,20.086,1cjs a ,1cjs,1cjs a 
1jhn, a ,2,380,0.369,0.012,33.905,1jhn a ,1jhn,1jhn a 
3l00, a ,2,162,2.56,0.054,15.252,3l00 a ,3l00,3l00 a 
1jqp, a ,2,348,5.022,0.052,21.72,1jqp a ,1jqp,1jqp a 
1cja, b ,2,327,5.097,0.048,31.028,1cja b ,1cja,1cja b 
1o70, a ,2,296,0.921,0.043,22.591,1o70 a ,1o70,1o70 a 
1ctt, a ,2,294,6.912,0.054,19.726,1ctt a ,1ctt,1ctt a 
2qoc, a ,2,319,6.667,0.051,20.536,2qoc a ,2qoc,2qoc a 
1qcs, a ,2,190,3.846,0.046,17.642,1qcs a ,1qcs,1qcs a 
2o3i, a ,2,366,5.895,0.055,20.418,2o3i a ,2o3i,2o3i a 
1e9y, a ,2,238,0.345,0.012,33.174,1e9y a ,1e9y,1e9y a 
2o3i, b ,2,365,5.996,0.055,21.495,2o3i b ,2o3i,2o3i b 
