1a44 A , 1 , 185 ,  0.378 ,  0.061
1afr A , 1 , 345 ,  0.223 ,  0.045
1aer A , 1 , 205 ,  0.244 ,  0.048
1afh A , 1 , 93 ,  0.581 ,  0.070
1rq6 A , 1 , 62 ,  0.387 ,  0.047
1jos A , 1 , 102 ,  0.363 ,  0.050
1fwq A , 1 , 115 ,  0.348 ,  0.055
1nn4 A , 1 , 159 ,  0.516 ,  0.058
1cfh A , 1 , 47 ,  0.234 ,  0.019
1g7d A , 1 , 106 ,  0.368 ,  0.053
1b4u A , 1 , 132 ,  0.174 ,  0.034
1a0n B , 1 , 58 ,  0.638 ,  0.066
1wid A , 1 , 117 ,  0.342 ,  0.044
1erc A , 1 , 40 ,  0.800 ,  0.074
1jad A , 1 , 235 ,  0.132 ,  0.007
1gv8 A , 1 , 159 ,  0.352 ,  0.062
1jbg A , 1 , 106 ,  0.094 ,  0.021
1b2v A , 1 , 173 ,  0.341 ,  0.055
2o8i A , 1 , 154 ,  0.162 ,  0.042
1lkf A , 1 , 292 ,  0.219 ,  0.035
1gd8 A , 1 , 105 ,  0.371 ,  0.047
1a91 A , 1 , 79 ,  0.253 ,  0.020
1a3a A , 1 , 145 ,  0.331 ,  0.065
1fsi A , 1 , 179 ,  0.240 ,  0.045
1gvm A , 1 , 127 ,  0.150 ,  0.025
1f0j A , 1 , 351 ,  0.245 ,  0.052
1m1p A , 1 , 87 ,  0.230 ,  0.039
1qz4 A , 1 , 213 ,  0.272 ,  0.058
1ahj A , 1 , 198 ,  0.056 ,  0.035
1a22 A , 1 , 180 ,  0.289 ,  0.045
1ck2 A , 1 , 104 ,  0.481 ,  0.064
1hky A , 1 , 86 ,  0.093 ,  0.043
1ow1 A , 1 , 167 ,  0.317 ,  0.056
1aqa A , 1 , 84 ,  0.488 ,  0.060
1kpt A , 1 , 105 ,  0.457 ,  0.065
1dvo A , 1 , 152 ,  0.118 ,  0.018
1e52 A , 1 , 56 ,  0.321 ,  0.024
1fw2 A , 1 , 257 ,  0.304 ,  0.048
1qgw A , 1 , 75 ,  0.107 ,  0.010
1i49 A , 1 , 201 ,  0.154 ,  0.010
1wmm A , 1 , 143 ,  0.294 ,  0.053
1dl6 A , 1 , 58 ,  0.052 ,  0.016
1jl0 A , 1 , 340 ,  0.347 ,  0.062
1bg2 A , 1 , 323 ,  0.328 ,  0.051
2ob5 A , 1 , 152 ,  0.539 ,  0.062
1j3a A , 1 , 129 ,  0.349 ,  0.053
1no5 A , 1 , 100 ,  0.470 ,  0.054
1a5k A , 1 , 100 ,  0.420 ,  0.049
1xly A , 1 , 224 ,  0.232 ,  0.037
1c39 A , 1 , 152 ,  0.395 ,  0.052
1bxy A , 1 , 60 ,  0.400 ,  0.060
1gp8 A , 1 , 40 ,  0.425 ,  0.038
1t62 A , 1 , 153 ,  0.222 ,  0.042
2icu A , 1 , 207 ,  0.227 ,  0.057
1u5u A , 1 , 366 ,  0.232 ,  0.053
1om2 A , 1 , 95 ,  0.137 ,  0.025
1e94 A , 1 , 174 ,  0.167 ,  0.059
2hh8 A , 1 , 127 ,  0.362 ,  0.055
1a1w A , 1 , 83 ,  0.301 ,  0.061
1c4t A , 1 , 226 ,  0.301 ,  0.045
1squ A , 1 , 152 ,  0.434 ,  0.057
1bjp A , 1 , 62 ,  0.242 ,  0.026
1a02 F , 1 , 53 ,  0.189 ,  0.007
1mae L , 1 , 123 ,  0.244 ,  0.058
1wij A , 1 , 127 ,  0.173 ,  0.048
2jpq A , 1 , 83 ,  0.048 ,  0.020
1s04 A , 1 , 110 ,  0.264 ,  0.053
1k1v A , 1 , 41 ,  0.415 ,  0.051
1by2 A , 1 , 112 ,  0.429 ,  0.070
1aqc A , 1 , 121 ,  0.256 ,  0.050
1af3 A , 1 , 145 ,  0.338 ,  0.057
1s4k A , 1 , 115 ,  0.096 ,  0.034
1a37 A , 1 , 195 ,  0.195 ,  0.041
1a03 A , 1 , 90 ,  0.267 ,  0.039
1a2k A , 1 , 124 ,  0.444 ,  0.049
1ag2 A , 1 , 103 ,  0.330 ,  0.051
2ijq A , 1 , 146 ,  0.479 ,  0.060
1g4f A , 1 , 86 ,  0.221 ,  0.045
1e0a A , 1 , 184 ,  0.261 ,  0.050
1dlm A , 1 , 309 ,  0.120 ,  0.032
2igs A , 1 , 220 ,  0.227 ,  0.052
1duc A , 1 , 121 ,  0.207 ,  0.036
2onk A , 1 , 240 ,  0.204 ,  0.046
1ble A , 1 , 161 ,  0.267 ,  0.055
12ca A , 1 , 255 ,  0.275 ,  0.056
1mo7 A , 1 , 213 ,  0.300 ,  0.051
2pv4 A , 1 , 146 ,  0.260 ,  0.044
1a15 A , 1 , 67 ,  0.179 ,  0.037
