1d6g , A , 1 , 47 ,  0.128 ,  0.034
1jfz , A , 1 , 148 ,  0.250 ,  0.049
1yz1 , D , 1 , 144 ,  0.347 ,  0.054
2o34 , A , 1 , 241 ,  0.282 ,  0.053
1aho , A , 1 , 66 ,  0.455 ,  0.065
1qqp , 4 , 1 , 46 ,  0.000 ,  0.005
3l8w , A , 1 , 296 ,  0.179 ,  0.028
1w53 , A , 1 , 87 ,  0.138 ,  0.045
2hdi , B , 1 , 103 ,  0.233 ,  0.035
1mvf , D , 1 , 44 ,  0.273 ,  0.033
1hp8 , A , 1 , 68 ,  0.441 ,  0.046
1vbw , A , 1 , 74 ,  0.608 ,  0.067
1kaf , D , 1 , 104 ,  0.356 ,  0.060
2nqw , A , 1 , 96 ,  0.573 ,  0.065
1xjh , A , 1 , 62 ,  0.290 ,  0.040
1jb7 , B , 1 , 226 ,  0.066 ,  0.026
2jfr , A , 1 , 269 ,  0.212 ,  0.070
1g3j , D , 1 , 34 ,  0.000 ,  0.003
1wib , A , 1 , 92 ,  0.174 ,  0.023
3rpz , A , 1 , 284 ,  0.264 ,  0.063
3pvi , A , 1 , 156 ,  0.199 ,  0.035
1qw2 , A , 1 , 97 ,  0.309 ,  0.046
1zzk , A , 1 , 82 ,  0.512 ,  0.057
1pg6 , A , 1 , 206 ,  0.150 ,  0.042
3n4j , A , 1 , 173 ,  0.358 ,  0.058
1dtd , B , 1 , 61 ,  0.443 ,  0.061
1bm8 , A , 1 , 99 ,  0.404 ,  0.063
1hnr , A , 1 , 47 ,  0.426 ,  0.050
1lpb , A , 1 , 85 ,  0.235 ,  0.055
2quy , A , 1 , 330 ,  0.148 ,  0.048
1j0t , A , 1 , 78 ,  0.397 ,  0.059
2w1v , A , 1 , 276 ,  0.264 ,  0.061
4mt2 , A , 1 , 61 ,  0.066 ,  0.034
2odk , A , 1 , 61 ,  0.197 ,  0.049
1rv9 , A , 1 , 242 ,  0.360 ,  0.059
2zih , B , 1 , 281 ,  0.281 ,  0.051
1jvr , A , 1 , 137 ,  0.015 ,  0.007
2atz , A , 1 , 172 ,  0.244 ,  0.048
1dsl , A , 1 , 88 ,  0.432 ,  0.065
1abv , A , 1 , 105 ,  0.410 ,  0.056
1gcc , A , 1 , 63 ,  0.476 ,  0.051
3kl6 , B , 1 , 50 ,  0.360 ,  0.039
1tl2 , A , 1 , 235 ,  0.183 ,  0.048
1aml , A , 1 , 40 ,  0.350 ,  0.025
1ryp , 1 , 1 , 222 ,  0.288 ,  0.050
1vmo , A , 1 , 163 ,  0.313 ,  0.059
1i71 , A , 1 , 83 ,  0.422 ,  0.057
3fn2 , A , 1 , 94 ,  0.181 ,  0.024
1u53 , A , 1 , 193 ,  0.218 ,  0.055
1tzy , C , 1 , 95 ,  0.137 ,  0.024
1gk8 , I , 1 , 125 ,  0.184 ,  0.037
3mv4 , M , 1 , 249 ,  0.301 ,  0.042
1m22 , A , 1 , 487 ,  0.275 ,  0.062
1yoz , A , 1 , 113 ,  0.336 ,  0.043
1wn9 , A , 1 , 123 ,  0.463 ,  0.063
1wui , L , 1 , 532 ,  0.201 ,  0.052
1o22 , A , 1 , 146 ,  0.233 ,  0.025
1yew , B , 1 , 238 ,  0.277 ,  0.035
1yew , C , 1 , 188 ,  0.218 ,  0.028
1ro7 , C , 1 , 240 ,  0.208 ,  0.052
2sic , I , 1 , 107 ,  0.355 ,  0.052
1qqh , A , 1 , 144 ,  0.243 ,  0.039
1jjr , A , 1 , 54 ,  0.352 ,  0.069
1xn8 , A , 1 , 131 ,  0.267 ,  0.033
1nlw , E , 1 , 74 ,  0.135 ,  0.010
2xu3 , A , 1 , 239 ,  0.192 ,  0.063
1yfq , A , 1 , 342 ,  0.196 ,  0.055
1ozj , A , 1 , 126 ,  0.246 ,  0.058
1y69 , 8 , 1 , 113 ,  0.265 ,  0.025
2ota , A , 1 , 66 ,  0.273 ,  0.028
2au7 , A , 1 , 176 ,  0.369 ,  0.061
2vpz , C , 1 , 250 ,  0.240 ,  0.044
2w9j , B , 1 , 80 ,  0.475 ,  0.040
1twf , F , 1 , 84 ,  0.179 ,  0.036
3a38 , A , 1 , 98 ,  0.561 ,  0.077
2v9l , A , 1 , 288 ,  0.323 ,  0.051
3dt5 , A , 1 , 124 ,  0.403 ,  0.047
1pby , C , 1 , 79 ,  0.114 ,  0.042
1v2b , B , 1 , 151 ,  0.404 ,  0.057
1i5j , A , 1 , 67 ,  0.284 ,  0.022
1dqc , A , 1 , 73 ,  0.219 ,  0.054
2izx , B , 1 , 41 ,  0.244 ,  0.035
2gkp , A , 1 , 178 ,  0.281 ,  0.057
1aoo , A , 1 , 40 ,  0.550 ,  0.070
1t07 , A , 1 , 78 ,  0.244 ,  0.039
2z0t , A , 1 , 109 ,  0.312 ,  0.057
1vp8 , A , 1 , 183 ,  0.383 ,  0.057
1pv5 , A , 1 , 263 ,  0.247 ,  0.047
3can , A , 1 , 164 ,  0.238 ,  0.050
1dj7 , A , 1 , 109 ,  0.339 ,  0.055
1v3w , A , 1 , 176 ,  0.403 ,  0.060
2ah6 , B , 1 , 164 ,  0.360 ,  0.043
3nx6 , A , 1 , 75 ,  0.453 ,  0.053
3g7k , C , 1 , 224 ,  0.000 ,  0.023
3bdf , B , 1 , 451 ,  0.251 ,  0.054
1f46 , B , 1 , 140 ,  0.379 ,  0.051
1kmv , A , 1 , 187 ,  0.214 ,  0.055
2o11 , A , 1 , 407 ,  0.268 ,  0.043
1p71 , B , 1 , 93 ,  0.097 ,  0.017
1fk5 , A , 1 , 93 ,  0.419 ,  0.058
1cyo , A , 1 , 88 ,  0.489 ,  0.054
2awk , A , 1 , 224 ,  0.281 ,  0.053
2end , A , 1 , 137 ,  0.248 ,  0.042
1pdc , A , 1 , 45 ,  0.267 ,  0.066
1p32 , C , 1 , 176 ,  0.216 ,  0.029
1jhg , A , 1 , 101 ,  0.099 ,  0.026
3mj0 , A , 1 , 118 ,  0.432 ,  0.056
2k7x , A , 1 , 120 ,  0.475 ,  0.053
2dc4 , A , 1 , 164 ,  0.244 ,  0.046
1w6s , A , 1 , 595 ,  0.225 ,  0.058
1w6s , B , 1 , 72 ,  0.097 ,  0.006
3ep6 , A , 1 , 240 ,  0.133 ,  0.046
1rq6 , A , 1 , 62 ,  0.387 ,  0.047
1l8c , A , 1 , 95 ,  0.347 ,  0.038
2qh9 , A , 1 , 172 ,  0.413 ,  0.057
1ybz , A , 1 , 76 ,  0.132 ,  0.023
1jos , A , 1 , 102 ,  0.363 ,  0.050
2hnu , A , 1 , 81 ,  0.321 ,  0.066
1g7d , A , 1 , 106 ,  0.368 ,  0.053
2ux9 , B , 1 , 71 ,  0.423 ,  0.038
1b4u , A , 1 , 132 ,  0.174 ,  0.034
1b4u , B , 1 , 298 ,  0.295 ,  0.063
2qzi , A , 1 , 102 ,  0.441 ,  0.053
1jad , A , 1 , 235 ,  0.132 ,  0.007
3bo5 , A , 1 , 275 ,  0.291 ,  0.054
1wny , A , 1 , 180 ,  0.272 ,  0.056
1tkv , A , 1 , 89 ,  0.472 ,  0.059
1rg8 , A , 1 , 141 ,  0.397 ,  0.067
1bds , A , 1 , 43 ,  0.535 ,  0.066
1af6 , A , 1 , 421 ,  0.192 ,  0.040
2o8i , A , 1 , 154 ,  0.188 ,  0.042
1gd8 , A , 1 , 105 ,  0.371 ,  0.047
1jbi , A , 1 , 100 ,  0.510 ,  0.067
1a3a , C , 1 , 146 ,  0.349 ,  0.065
1ibt , C , 1 , 76 ,  0.026 ,  0.020
3hqf , A , 1 , 173 ,  0.283 ,  0.052
2zjs , Y , 1 , 415 ,  0.267 ,  0.038
1whi , A , 1 , 122 ,  0.352 ,  0.060
3ks3 , A , 1 , 266 ,  0.286 ,  0.058
1jw2 , A , 1 , 72 ,  0.139 ,  0.045
