2elc , A , 2 , 4 , 329 , 199 , 0 , 3 , 18 , 53
1qo6 , A , 2 , 3 , 101 , 27 , 0 , 2 , 13 , 37
1sj8 , A , 2 , 2 , 297 , 134 , 0 , 0 , 7 , 19
3kjd , B , 2 , 3 , 353 , 179 , 0 , 0 , 7 , 20
1lqs , L , 2 , 2 , 142 , 79 , 0 , 0 , 8 , 15
2z6r , A , 2 , 2 , 264 , 152 , 0 , 0 , 23 , 47
1skz , A , 2 , 2 , 104 , 27 , 0 , 8 , 13 , 19
1knx , B , 2 , 3 , 304 , 178 , 0 , 0 , 2 , 23
3dpo , A , 2 , 2 , 223 , 89 , 0 , 0 , 8 , 19
2fef , A , 2 , 3 , 283 , 155 , 0 , 6 , 14 , 28
1wku , B , 2 , 2 , 227 , 115 , 0 , 1 , 26 , 57
1j5y , A , 2 , 2 , 167 , 68 , 0 , 1 , 21 , 52
1ng6 , A , 2 , 2 , 148 , 49 , 0 , 3 , 9 , 24
1lck , A , 2 , 2 , 164 , 62 , 0 , 0 , 18 , 57
1div , A , 2 , 3 , 149 , 43 , 0 , 0 , 10 , 18
1nij , A , 2 , 2 , 317 , 157 , 0 , 2 , 8 , 42
1ush , A , 2 , 4 , 515 , 292 , 0 , 0 , 12 , 27
1ev7 , A , 2 , 3 , 295 , 146 , 0 , 0 , 8 , 25
2o62 , A , 2 , 2 , 275 , 137 , 0 , 8 , 20 , 36
1h4a , X , 2 , 2 , 174 , 74 , 0 , 2 , 29 , 73
2ra8 , A , 2 , 2 , 339 , 153 , 0 , 0 , 3 , 19
3c9u , A , 2 , 3 , 308 , 186 , 0 , 9 , 14 , 27
3q8g , A , 2 , 2 , 310 , 150 , 0 , 4 , 13 , 27
2oux , A , 2 , 2 , 246 , 124 , 0 , 0 , 12 , 18
2qbw , A , 2 , 2 , 191 , 79 , 0 , 0 , 16 , 44
2fj8 , A , 2 , 3 , 120 , 37 , 0 , 3 , 13 , 31
2v3z , A , 2 , 3 , 465 , 239 , 0 , 0 , 9 , 17
3eam , A , 2 , 3 , 311 , 174 , 0 , 0 , 0 , 9
1nty , A , 2 , 4 , 320 , 0 , 0 , 0 , 0 , 0
